a,b,c,d,e,f
Karen13,Def,7,Max14,Off,5
Vivien3,Off,8,Tom11,na,3
Jeffrey1,Off,7,Jose15,Def,8
Ryan18,na,5,Jonathan5,Def,9
Joeseph9,Def,7,Marcus17,Def,4
Score,,0,,,0
,,,,,
Game ID: ,198,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Martin16,Off,6
Alex2,Off,3,John4,Off,4
Sherman12,Def,5,Danny19,na,9
Karen13,Def,7,Max14,Off,5
Vivien3,Off,8,Tom11,na,3
Jeffrey1,Off,7,Jose15,Def,8
Ryan18,na,5,Jonathan5,Def,9
Joeseph9,Def,7,Marcus17,Def,4
Score,,0,,,0
,,,,,
Game ID: ,199,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Sherman12,Def,5
Alex2,Off,3,Michael7,na,8
Marcus17,Def,4,Jeffrey1,Off,7
Martin16,Off,6,Jessica10,Off,7
Score,,0,,,3
,,,,,
Game ID: ,200,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Sherman12,Def,5
Alex2,Off,3,Michael7,na,8
Marcus17,Def,4,Jeffrey1,Off,7
Martin16,Off,6,Jessica10,Off,7
Score,,0,,,5
,,,,,
Game ID: ,201,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Alex2,Off,3
Jose15,Def,8,Chris20,Def,3
Danny19,na,9,Karen13,Def,7
Max14,Off,5,John4,Off,4
Vivien3,Off,8,Frank8,Off,9
Joeseph9,Def,7,Jonathan5,Def,9
Michael7,na,8,Jeffrey1,Off,7
Marcus17,Def,4,Sherman12,Def,5
Score,,3,,,0
,,,,,
Game ID: ,202,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Alex2,Off,3
Jose15,Def,8,Chris20,Def,3
Danny19,na,9,Karen13,Def,7
Max14,Off,5,John4,Off,4
Vivien3,Off,8,Frank8,Off,9
Joeseph9,Def,7,Jonathan5,Def,9
Michael7,na,8,Jeffrey1,Off,7
Marcus17,Def,4,Sherman12,Def,5
Score,,1,,,0
,,,,,
Game ID: ,203,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Martin16,Off,6
Khoman 6,Def,6,Joeseph9,Def,7
Michael7,na,8,Jessica10,Off,7
Chris20,Def,3,Jose15,Def,8
Ryan18,na,5,Danny19,na,9
Marcus17,Def,4,Jonathan5,Def,9
Max14,Off,5,Jeffrey1,Off,7
Score,,0,,,2
,,,,,
Game ID: ,204,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Martin16,Off,6
Khoman 6,Def,6,Joeseph9,Def,7
Michael7,na,8,Jessica10,Off,7
Chris20,Def,3,Jose15,Def,8
Ryan18,na,5,Danny19,na,9
Marcus17,Def,4,Jonathan5,Def,9
Max14,Off,5,Jeffrey1,Off,7
Score,,0,,,4
,,,,,
Game ID: ,205,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Martin16,Off,6
Joeseph9,Def,7,John4,Off,4
Jeffrey1,Off,7,Jonathan5,Def,9
Marcus17,Def,4,Khoman 6,Def,6
Jessica10,Off,7,Jose15,Def,8
Score,,0,,,1
,,,,,
Game ID: ,206,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Martin16,Off,6
Joeseph9,Def,7,John4,Off,4
Jeffrey1,Off,7,Jonathan5,Def,9
Marcus17,Def,4,Khoman 6,Def,6
Jessica10,Off,7,Jose15,Def,8
Score,,0,,,0
,,,,,
Game ID: ,207,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Ryan18,na,5
Jessica10,Off,7,Michael7,na,8
Jonathan5,Def,9,Alex2,Off,3
Vivien3,Off,8,Frank8,Off,9
Jeffrey1,Off,7,Max14,Off,5
John4,Off,4,Joeseph9,Def,7
Karen13,Def,7,Danny19,na,9
Sherman12,Def,5,,,
Score,,0,,,1
,,,,,
Game ID: ,208,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Ryan18,na,5
Jessica10,Off,7,Michael7,na,8
Jonathan5,Def,9,Alex2,Off,3
Vivien3,Off,8,Frank8,Off,9
Jeffrey1,Off,7,Max14,Off,5
John4,Off,4,Joeseph9,Def,7
Karen13,Def,7,Danny19,na,9
Sherman12,Def,5,,,
Score,,1,,,0
,,,,,
Game ID: ,209,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Joeseph9,Def,7
Max14,Off,5,Jessica10,Off,7
Michael7,na,8,Jeffrey1,Off,7
Karen13,Def,7,Ryan18,na,5
Alex2,Off,3,Jose15,Def,8
Jonathan5,Def,9,Vivien3,Off,8
Danny19,na,9,Martin16,Off,6
Marcus17,Def,4,Sherman12,Def,5
Score,,1,,,0
,,,,,
Game ID: ,210,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Joeseph9,Def,7
Max14,Off,5,Jessica10,Off,7
Michael7,na,8,Jeffrey1,Off,7
Karen13,Def,7,Ryan18,na,5
Alex2,Off,3,Jose15,Def,8
Jonathan5,Def,9,Vivien3,Off,8
Danny19,na,9,Martin16,Off,6
Marcus17,Def,4,Sherman12,Def,5
Score,,0,,,0
,,,,,
Game ID: ,211,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Joeseph9,Def,7
Michael7,na,8,Vivien3,Off,8
Jonathan5,Def,9,Max14,Off,5
Frank8,Off,9,Jose15,Def,8
Ryan18,na,5,John4,Off,4
Score,,1,,,0
,,,,,
Game ID: ,212,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Joeseph9,Def,7
Michael7,na,8,Vivien3,Off,8
Jonathan5,Def,9,Max14,Off,5
Frank8,Off,9,Jose15,Def,8
Ryan18,na,5,John4,Off,4
Score,,1,,,0
,,,,,
Game ID: ,213,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Tom11,na,3
Jose15,Def,8,Michael7,na,8
Marcus17,Def,4,Jonathan5,Def,9
Alex2,Off,3,Danny19,na,9
Jessica10,Off,7,Max14,Off,5
Khoman 6,Def,6,Chris20,Def,3
Vivien3,Off,8,John4,Off,4
Joeseph9,Def,7,,,
Score,,3,,,0
,,,,,
Game ID: ,214,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Tom11,na,3
Jose15,Def,8,Michael7,na,8
Marcus17,Def,4,Jonathan5,Def,9
Alex2,Off,3,Danny19,na,9
Jessica10,Off,7,Max14,Off,5
Khoman 6,Def,6,Chris20,Def,3
Vivien3,Off,8,John4,Off,4
Joeseph9,Def,7,,,
Score,,2,,,0
,,,,,
Game ID: ,215,,,,
player id,position,Rating,player id,position,Rating
Jonathan5,Def,9,Karen13,Def,7
Vivien3,Off,8,Jessica10,Off,7
Danny19,na,9,Ryan18,na,5
Tom11,na,3,Chris20,Def,3
Joeseph9,Def,7,Sherman12,Def,5
Alex2,Off,3,John4,Off,4
Martin16,Off,6,Frank8,Off,9
Score,,1,,,0
,,,,,
Game ID: ,216,,,,
player id,position,Rating,player id,position,Rating
Jonathan5,Def,9,Karen13,Def,7
Vivien3,Off,8,Jessica10,Off,7
Danny19,na,9,Ryan18,na,5
Tom11,na,3,Chris20,Def,3
Joeseph9,Def,7,Sherman12,Def,5
Alex2,Off,3,John4,Off,4
Martin16,Off,6,Frank8,Off,9
Score,,1,,,0
,,,,,
Game ID: ,217,,,,
player id,position,Rating,player id,position,Rating
Joeseph9,Def,7,Jonathan5,Def,9
Michael7,na,8,Frank8,Off,9
Danny19,na,9,Ryan18,na,5
Jeffrey1,Off,7,Khoman 6,Def,6
John4,Off,4,Karen13,Def,7
Sherman12,Def,5,Vivien3,Off,8
Score,,0,,,2
,,,,,
Game ID: ,218,,,,
player id,position,Rating,player id,position,Rating
Joeseph9,Def,7,Jonathan5,Def,9
Michael7,na,8,Frank8,Off,9
Danny19,na,9,Ryan18,na,5
Jeffrey1,Off,7,Khoman 6,Def,6
John4,Off,4,Karen13,Def,7
Sherman12,Def,5,Vivien3,Off,8
Score,,0,,,1
,,,,,
Game ID: ,219,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Joeseph9,Def,7
Jessica10,Off,7,Danny19,na,9
Alex2,Off,3,Martin16,Off,6
Jonathan5,Def,9,Jose15,Def,8
Score,,0,,,2
,,,,,
Game ID: ,220,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Joeseph9,Def,7
Jessica10,Off,7,Danny19,na,9
Alex2,Off,3,Martin16,Off,6
Jonathan5,Def,9,Jose15,Def,8
Score,,0,,,2
,,,,,
Game ID: ,221,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Vivien3,Off,8
John4,Off,4,Marcus17,Def,4
Jonathan5,Def,9,Joeseph9,Def,7
Khoman 6,Def,6,Jessica10,Off,7
Martin16,Off,6,Alex2,Off,3
Danny19,na,9,Karen13,Def,7
Score,,4,,,0
,,,,,
Game ID: ,222,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Vivien3,Off,8
John4,Off,4,Marcus17,Def,4
Jonathan5,Def,9,Joeseph9,Def,7
Khoman 6,Def,6,Jessica10,Off,7
Martin16,Off,6,Alex2,Off,3
Danny19,na,9,Karen13,Def,7
Score,,2,,,0
,,,,,
Game ID: ,223,,,,
player id,position,Rating,player id,position,Rating
Danny19,na,9,Jeffrey1,Off,7
Jessica10,Off,7,Tom11,na,3
Marcus17,Def,4,Michael7,na,8
Vivien3,Off,8,Jose15,Def,8
Ryan18,na,5,Martin16,Off,6
Frank8,Off,9,Chris20,Def,3
Karen13,Def,7,Sherman12,Def,5
Score,,3,,,0
,,,,,
Game ID: ,224,,,,
player id,position,Rating,player id,position,Rating
Danny19,na,9,Jeffrey1,Off,7
Jessica10,Off,7,Tom11,na,3
Marcus17,Def,4,Michael7,na,8
Vivien3,Off,8,Jose15,Def,8
Ryan18,na,5,Martin16,Off,6
Frank8,Off,9,Chris20,Def,3
Karen13,Def,7,Sherman12,Def,5
Score,,3,,,0
,,,,,
Game ID: ,225,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Frank8,Off,9
Tom11,na,3,Marcus17,Def,4
Chris20,Def,3,Alex2,Off,3
Sherman12,Def,5,Jeffrey1,Off,7
Jessica10,Off,7,Khoman 6,Def,6
John4,Off,4,Ryan18,na,5
Score,,0,,,0
,,,,,
Game ID: ,226,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Frank8,Off,9
Tom11,na,3,Marcus17,Def,4
Chris20,Def,3,Alex2,Off,3
Sherman12,Def,5,Jeffrey1,Off,7
Jessica10,Off,7,Khoman 6,Def,6
John4,Off,4,Ryan18,na,5
Score,,0,,,1
,,,,,
Game ID: ,227,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Karen13,Def,7
Vivien3,Off,8,Jose15,Def,8
Frank8,Off,9,Jeffrey1,Off,7
Khoman 6,Def,6,Sherman12,Def,5
John4,Off,4,Jessica10,Off,7
Tom11,na,3,Michael7,na,8
Marcus17,Def,4,Danny19,na,9
Joeseph9,Def,7,Max14,Off,5
Score,,0,,,3
,,,,,
Game ID: ,228,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Karen13,Def,7
Vivien3,Off,8,Jose15,Def,8
Frank8,Off,9,Jeffrey1,Off,7
Khoman 6,Def,6,Sherman12,Def,5
John4,Off,4,Jessica10,Off,7
Tom11,na,3,Michael7,na,8
Marcus17,Def,4,Danny19,na,9
Joeseph9,Def,7,Max14,Off,5
Score,,0,,,2
,,,,,
Game ID: ,229,,,,
player id,position,Rating,player id,position,Rating
Danny19,na,9,Michael7,na,8
Ryan18,na,5,Max14,Off,5
Karen13,Def,7,John4,Off,4
Alex2,Off,3,Jonathan5,Def,9
Score,,0,,,0
,,,,,
Game ID: ,230,,,,
player id,position,Rating,player id,position,Rating
Danny19,na,9,Michael7,na,8
Ryan18,na,5,Max14,Off,5
Karen13,Def,7,John4,Off,4
Alex2,Off,3,Jonathan5,Def,9
Score,,0,,,1
,,,,,
Game ID: ,231,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Jonathan5,Def,9
Michael7,na,8,Danny19,na,9
Ryan18,na,5,Sherman12,Def,5
Karen13,Def,7,Max14,Off,5
Score,,0,,,1
,,,,,
Game ID: ,232,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Jonathan5,Def,9
Michael7,na,8,Danny19,na,9
Ryan18,na,5,Sherman12,Def,5
Karen13,Def,7,Max14,Off,5
Score,,0,,,0
,,,,,
Game ID: ,233,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Vivien3,Off,8
Jessica10,Off,7,John4,Off,4
Jonathan5,Def,9,Tom11,na,3
Chris20,Def,3,Ryan18,na,5
Marcus17,Def,4,Khoman 6,Def,6
Alex2,Off,3,Joeseph9,Def,7
Michael7,na,8,Jose15,Def,8
Danny19,na,9,Max14,Off,5
Score,,2,,,0
,,,,,
Game ID: ,234,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Vivien3,Off,8
Jessica10,Off,7,John4,Off,4
Jonathan5,Def,9,Tom11,na,3
Chris20,Def,3,Ryan18,na,5
Marcus17,Def,4,Khoman 6,Def,6
Alex2,Off,3,Joeseph9,Def,7
Michael7,na,8,Jose15,Def,8
Danny19,na,9,Max14,Off,5
Score,,1,,,0
,,,,,
Game ID: ,235,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Danny19,na,9
Ryan18,na,5,Jose15,Def,8
Chris20,Def,3,Martin16,Off,6
Jonathan5,Def,9,John4,Off,4
Tom11,na,3,,,
Score,,0,,,1
,,,,,
Game ID: ,236,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Danny19,na,9
Ryan18,na,5,Jose15,Def,8
Chris20,Def,3,Martin16,Off,6
Jonathan5,Def,9,John4,Off,4
Tom11,na,3,,,
Score,,0,,,0
,,,,,
Game ID: ,237,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Khoman 6,Def,6
Sherman12,Def,5,Chris20,Def,3
Marcus17,Def,4,Ryan18,na,5
Vivien3,Off,8,Max14,Off,5
Frank8,Off,9,Tom11,na,3
John4,Off,4,Michael7,na,8
Jose15,Def,8,Jeffrey1,Off,7
Jessica10,Off,7,,,
Score,,2,,,0
,,,,,
Game ID: ,238,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Khoman 6,Def,6
Sherman12,Def,5,Chris20,Def,3
Marcus17,Def,4,Ryan18,na,5
Vivien3,Off,8,Max14,Off,5
Frank8,Off,9,Tom11,na,3
John4,Off,4,Michael7,na,8
Jose15,Def,8,Jeffrey1,Off,7
Jessica10,Off,7,,,
Score,,4,,,0
,,,,,
Game ID: ,239,,,,
player id,position,Rating,player id,position,Rating
Khoman 6,Def,6,Marcus17,Def,4
Jessica10,Off,7,Frank8,Off,9
Joeseph9,Def,7,Ryan18,na,5
Tom11,na,3,John4,Off,4
Jose15,Def,8,Chris20,Def,3
Alex2,Off,3,Danny19,na,9
Score,,1,,,0
,,,,,
Game ID: ,240,,,,
player id,position,Rating,player id,position,Rating
Khoman 6,Def,6,Marcus17,Def,4
Jessica10,Off,7,Frank8,Off,9
Joeseph9,Def,7,Ryan18,na,5
Tom11,na,3,John4,Off,4
Jose15,Def,8,Chris20,Def,3
Alex2,Off,3,Danny19,na,9
Score,,0,,,0
,,,,,
Game ID: ,241,,,,
player id,position,Rating,player id,position,Rating
Khoman 6,Def,6,Tom11,na,3
Sherman12,Def,5,Max14,Off,5
Jessica10,Off,7,Marcus17,Def,4
Ryan18,na,5,Frank8,Off,9
Vivien3,Off,8,Jose15,Def,8
Jonathan5,Def,9,Martin16,Off,6
Danny19,na,9,Michael7,na,8
Score,,0,,,0
,,,,,
Game ID: ,242,,,,
player id,position,Rating,player id,position,Rating
Khoman 6,Def,6,Tom11,na,3
Sherman12,Def,5,Max14,Off,5
Jessica10,Off,7,Marcus17,Def,4
Ryan18,na,5,Frank8,Off,9
Vivien3,Off,8,Jose15,Def,8
Jonathan5,Def,9,Martin16,Off,6
Danny19,na,9,Michael7,na,8
Score,,1,,,0
,,,,,
Game ID: ,243,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Jeffrey1,Off,7
Karen13,Def,7,Danny19,na,9
Jessica10,Off,7,Michael7,na,8
Frank8,Off,9,Jonathan5,Def,9
Sherman12,Def,5,,,
Score,,0,,,1
,,,,,
Game ID: ,244,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Jeffrey1,Off,7
Karen13,Def,7,Danny19,na,9
Jessica10,Off,7,Michael7,na,8
Frank8,Off,9,Jonathan5,Def,9
Sherman12,Def,5,,,
Score,,0,,,0
,,,,,
Game ID: ,245,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Chris20,Def,3
Danny19,na,9,John4,Off,4
Jeffrey1,Off,7,Khoman 6,Def,6
Karen13,Def,7,Marcus17,Def,4
Sherman12,Def,5,Jonathan5,Def,9
Jose15,Def,8,Frank8,Off,9
Vivien3,Off,8,Alex2,Off,3
Score,,4,,,0
,,,,,
Game ID: ,246,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Chris20,Def,3
Danny19,na,9,John4,Off,4
Jeffrey1,Off,7,Khoman 6,Def,6
Karen13,Def,7,Marcus17,Def,4
Sherman12,Def,5,Jonathan5,Def,9
Jose15,Def,8,Frank8,Off,9
Vivien3,Off,8,Alex2,Off,3
Score,,4,,,0
,,,,,
Game ID: ,247,,,,
player id,position,Rating,player id,position,Rating
Jeffrey1,Off,7,Karen13,Def,7
Chris20,Def,3,Alex2,Off,3
Marcus17,Def,4,Khoman 6,Def,6
Max14,Off,5,Jonathan5,Def,9
Jose15,Def,8,,,
Score,,1,,,0
,,,,,
Game ID: ,248,,,,
player id,position,Rating,player id,position,Rating
Jeffrey1,Off,7,Karen13,Def,7
Chris20,Def,3,Alex2,Off,3
Marcus17,Def,4,Khoman 6,Def,6
Max14,Off,5,Jonathan5,Def,9
Jose15,Def,8,,,
Score,,1,,,0
,,,,,
Game ID: ,249,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Chris20,Def,3
Alex2,Off,3,John4,Off,4
Joeseph9,Def,7,Jonathan5,Def,9
Frank8,Off,9,Martin16,Off,6
Marcus17,Def,4,Vivien3,Off,8
Sherman12,Def,5,Danny19,na,9
Ryan18,na,5,,,
Score,,0,,,0
,,,,,
Game ID: ,250,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Chris20,Def,3
Alex2,Off,3,John4,Off,4
Joeseph9,Def,7,Jonathan5,Def,9
Frank8,Off,9,Martin16,Off,6
Marcus17,Def,4,Vivien3,Off,8
Sherman12,Def,5,Danny19,na,9
Ryan18,na,5,,,
Score,,0,,,1
,,,,,
Game ID: ,251,,,,
player id,position,Rating,player id,position,Rating
Jeffrey1,Off,7,Sherman12,Def,5
John4,Off,4,Joeseph9,Def,7
Ryan18,na,5,Martin16,Off,6
Jose15,Def,8,Karen13,Def,7
Frank8,Off,9,Alex2,Off,3
Khoman 6,Def,6,Michael7,na,8
Danny19,na,9,Marcus17,Def,4
Tom11,na,3,Vivien3,Off,8
Score,,2,,,0
,,,,,
Game ID: ,252,,,,
player id,position,Rating,player id,position,Rating
Jeffrey1,Off,7,Sherman12,Def,5
John4,Off,4,Joeseph9,Def,7
Ryan18,na,5,Martin16,Off,6
Jose15,Def,8,Karen13,Def,7
Frank8,Off,9,Alex2,Off,3
Khoman 6,Def,6,Michael7,na,8
Danny19,na,9,Marcus17,Def,4
Tom11,na,3,Vivien3,Off,8
Score,,1,,,0
,,,,,
Game ID: ,253,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Michael7,na,8
Khoman 6,Def,6,Jose15,Def,8
Jeffrey1,Off,7,Jonathan5,Def,9
Ryan18,na,5,Martin16,Off,6
Score,,0,,,3
,,,,,
Game ID: ,254,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Michael7,na,8
Khoman 6,Def,6,Jose15,Def,8
Jeffrey1,Off,7,Jonathan5,Def,9
Ryan18,na,5,Martin16,Off,6
Score,,0,,,5
,,,,,
Game ID: ,255,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Khoman 6,Def,6
Jessica10,Off,7,Martin16,Off,6
Chris20,Def,3,Marcus17,Def,4
Jonathan5,Def,9,Jeffrey1,Off,7
Ryan18,na,5,Jose15,Def,8
Joeseph9,Def,7,Max14,Off,5
Score,,1,,,0
,,,,,
Game ID: ,256,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Khoman 6,Def,6
Jessica10,Off,7,Martin16,Off,6
Chris20,Def,3,Marcus17,Def,4
Jonathan5,Def,9,Jeffrey1,Off,7
Ryan18,na,5,Jose15,Def,8
Joeseph9,Def,7,Max14,Off,5
Score,,1,,,0
,,,,,
Game ID: ,257,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Martin16,Off,6
Michael7,na,8,Jonathan5,Def,9
Tom11,na,3,Khoman 6,Def,6
Sherman12,Def,5,Max14,Off,5
Jose15,Def,8,Marcus17,Def,4
Vivien3,Off,8,,,
Score,,5,,,0
,,,,,
Game ID: ,258,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Martin16,Off,6
Michael7,na,8,Jonathan5,Def,9
Tom11,na,3,Khoman 6,Def,6
Sherman12,Def,5,Max14,Off,5
Jose15,Def,8,Marcus17,Def,4
Vivien3,Off,8,,,
Score,,3,,,0
,,,,,
Game ID: ,259,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Jessica10,Off,7
Max14,Off,5,Marcus17,Def,4
Ryan18,na,5,Frank8,Off,9
Vivien3,Off,8,Chris20,Def,3
Sherman12,Def,5,Joeseph9,Def,7
John4,Off,4,Tom11,na,3
Jose15,Def,8,Michael7,na,8
Karen13,Def,7,Alex2,Off,3
Score,,1,,,0
,,,,,
Game ID: ,260,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Jessica10,Off,7
Max14,Off,5,Marcus17,Def,4
Ryan18,na,5,Frank8,Off,9
Vivien3,Off,8,Chris20,Def,3
Sherman12,Def,5,Joeseph9,Def,7
John4,Off,4,Tom11,na,3
Jose15,Def,8,Michael7,na,8
Karen13,Def,7,Alex2,Off,3
Score,,1,,,0
,,,,,
Game ID: ,261,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Alex2,Off,3
Vivien3,Off,8,Joeseph9,Def,7
Danny19,na,9,Max14,Off,5
Karen13,Def,7,Marcus17,Def,4
Jeffrey1,Off,7,Sherman12,Def,5
Frank8,Off,9,Khoman 6,Def,6
Ryan18,na,5,John4,Off,4
Jonathan5,Def,9,,,
Score,,6,,,0
,,,,,
Game ID: ,262,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Alex2,Off,3
Vivien3,Off,8,Joeseph9,Def,7
Danny19,na,9,Max14,Off,5
Karen13,Def,7,Marcus17,Def,4
Jeffrey1,Off,7,Sherman12,Def,5
Frank8,Off,9,Khoman 6,Def,6
Ryan18,na,5,John4,Off,4
Jonathan5,Def,9,,,
Score,,7,,,0
,,,,,
Game ID: ,263,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Chris20,Def,3
Joeseph9,Def,7,John4,Off,4
Marcus17,Def,4,Danny19,na,9
Vivien3,Off,8,Jessica10,Off,7
Score,,1,,,0
,,,,,
Game ID: ,264,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Chris20,Def,3
Joeseph9,Def,7,John4,Off,4
Marcus17,Def,4,Danny19,na,9
Vivien3,Off,8,Jessica10,Off,7
Score,,0,,,0
,,,,,
Game ID: ,265,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Ryan18,na,5
Tom11,na,3,Jeffrey1,Off,7
Alex2,Off,3,Jessica10,Off,7
Joeseph9,Def,7,Khoman 6,Def,6
Jonathan5,Def,9,Frank8,Off,9
Martin16,Off,6,Marcus17,Def,4
Michael7,na,8,Sherman12,Def,5
Max14,Off,5,John4,Off,4
Score,,0,,,2
,,,,,
Game ID: ,266,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Ryan18,na,5
Tom11,na,3,Jeffrey1,Off,7
Alex2,Off,3,Jessica10,Off,7
Joeseph9,Def,7,Khoman 6,Def,6
Jonathan5,Def,9,Frank8,Off,9
Martin16,Off,6,Marcus17,Def,4
Michael7,na,8,Sherman12,Def,5
Max14,Off,5,John4,Off,4
Score,,0,,,1
,,,,,
Game ID: ,267,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Ryan18,na,5
Marcus17,Def,4,Max14,Off,5
Alex2,Off,3,Karen13,Def,7
Martin16,Off,6,Michael7,na,8
Score,,0,,,4
,,,,,
Game ID: ,268,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Ryan18,na,5
Marcus17,Def,4,Max14,Off,5
Alex2,Off,3,Karen13,Def,7
Martin16,Off,6,Michael7,na,8
Score,,0,,,5
,,,,,
Game ID: ,269,,,,
player id,position,Rating,player id,position,Rating
Joeseph9,Def,7,Khoman 6,Def,6
Max14,Off,5,Sherman12,Def,5
Jessica10,Off,7,Ryan18,na,5
Michael7,na,8,Vivien3,Off,8
Score,,3,,,0
,,,,,
Game ID: ,270,,,,
player id,position,Rating,player id,position,Rating
Joeseph9,Def,7,Khoman 6,Def,6
Max14,Off,5,Sherman12,Def,5
Jessica10,Off,7,Ryan18,na,5
Michael7,na,8,Vivien3,Off,8
Score,,2,,,0
,,,,,
Game ID: ,271,,,,
player id,position,Rating,player id,position,Rating
Khoman 6,Def,6,Joeseph9,Def,7
Michael7,na,8,Jonathan5,Def,9
Vivien3,Off,8,Jose15,Def,8
Chris20,Def,3,John4,Off,4
Martin16,Off,6,Alex2,Off,3
Tom11,na,3,Max14,Off,5
Jeffrey1,Off,7,Sherman12,Def,5
Karen13,Def,7,Frank8,Off,9
Score,,1,,,0
,,,,,
Game ID: ,272,,,,
player id,position,Rating,player id,position,Rating
Khoman 6,Def,6,Joeseph9,Def,7
Michael7,na,8,Jonathan5,Def,9
Vivien3,Off,8,Jose15,Def,8
Chris20,Def,3,John4,Off,4
Martin16,Off,6,Alex2,Off,3
Tom11,na,3,Max14,Off,5
Jeffrey1,Off,7,Sherman12,Def,5
Karen13,Def,7,Frank8,Off,9
Score,,0,,,0
,,,,,
Game ID: ,273,,,,
player id,position,Rating,player id,position,Rating
Jonathan5,Def,9,Marcus17,Def,4
Danny19,na,9,Frank8,Off,9
Tom11,na,3,Chris20,Def,3
Ryan18,na,5,Alex2,Off,3
Khoman 6,Def,6,Michael7,na,8
John4,Off,4,Vivien3,Off,8
Sherman12,Def,5,Max14,Off,5
Jessica10,Off,7,Joeseph9,Def,7
Score,,1,,,0
,,,,,
Game ID: ,274,,,,
player id,position,Rating,player id,position,Rating
Jonathan5,Def,9,Marcus17,Def,4
Danny19,na,9,Frank8,Off,9
Tom11,na,3,Chris20,Def,3
Ryan18,na,5,Alex2,Off,3
Khoman 6,Def,6,Michael7,na,8
John4,Off,4,Vivien3,Off,8
Sherman12,Def,5,Max14,Off,5
Jessica10,Off,7,Joeseph9,Def,7
Score,,0,,,0
,,,,,
Game ID: ,275,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Ryan18,na,5
Karen13,Def,7,Tom11,na,3
Chris20,Def,3,Khoman 6,Def,6
Jessica10,Off,7,Alex2,Off,3
Martin16,Off,6,Michael7,na,8
Score,,3,,,0
,,,,,
Game ID: ,276,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Ryan18,na,5
Karen13,Def,7,Tom11,na,3
Chris20,Def,3,Khoman 6,Def,6
Jessica10,Off,7,Alex2,Off,3
Martin16,Off,6,Michael7,na,8
Score,,3,,,0
,,,,,
Game ID: ,277,,,,
